"session_id","n_hit","n_fa","n_miss","n_cr","acc_61","sum"
1777,27,5,3,25,"87%",60
1778,27,10,3,20,"78%",60
1779,28,1,2,29,"95%",60
1780,24,12,6,18,"70%",60
1781,26,8,4,22,"80%",60
1782,22,1,8,29,"85%",60
1783,23,17,7,13,"60%",60
1784,23,2,7,28,"85%",60
1785,25,3,5,27,"87%",60
1787,13,3,17,27,"67%",60
1789,15,4,2,15,"83%",36
1790,17,13,13,17,"57%",60
1792,28,4,2,26,"90%",60
1793,26,0,4,30,"93%",60
1794,26,18,4,12,"63%",60
1795,30,4,0,26,"93%",60
1796,29,6,1,24,"88%",60
1797,20,5,10,25,"75%",60
1798,25,15,5,15,"67%",60
1799,19,14,11,16,"58%",60
1800,17,2,13,28,"75%",60
1804,17,8,13,22,"65%",60
1805,26,4,4,26,"87%",60
1806,28,3,2,27,"92%",60
1808,24,3,6,27,"85%",60
1809,30,0,0,30,"100%",60
1810,17,3,13,27,"73%",60
1811,27,5,3,25,"87%",60
1812,20,6,10,24,"73%",60
1813,25,0,5,30,"92%",60
1814,27,3,3,27,"90%",60
1815,22,2,8,28,"83%",60
1816,28,5,2,25,"88%",60
1817,26,1,4,29,"92%",60
1818,25,0,5,30,"92%",60
1819,25,1,5,29,"90%",60
1820,19,12,11,18,"62%",60
1821,30,1,0,29,"98%",60
1823,23,16,7,14,"62%",60
1824,18,8,12,22,"67%",60
1827,18,0,12,30,"80%",60
1828,18,9,12,21,"65%",60
1829,25,5,5,25,"83%",60
1830,30,0,0,30,"100%",60
1831,28,1,2,29,"95%",60
1832,29,1,1,29,"97%",60
1833,29,13,1,17,"77%",60
1834,27,1,3,29,"93%",60
1836,25,3,5,27,"87%",60
1837,30,15,0,15,"75%",60
1838,27,10,3,20,"78%",60
1839,6,10,24,20,"43%",60
1840,23,3,7,27,"83%",60
1841,17,9,13,21,"63%",60
1842,25,0,5,30,"92%",60
1843,24,14,6,16,"67%",60
1844,22,2,8,28,"83%",60
1845,23,0,7,30,"88%",60
1846,19,17,11,13,"53%",60
1847,22,3,8,27,"82%",60
1850,19,9,11,21,"67%",60
1851,20,9,10,21,"68%",60
1856,24,1,6,29,"88%",60
1857,23,6,7,24,"78%",60
1859,22,11,8,19,"68%",60
1860,14,2,16,28,"70%",60
1861,29,0,1,30,"98%",60
1862,26,1,4,29,"92%",60
1863,30,0,0,30,"100%",60
1865,30,3,0,27,"95%",60
1866,30,0,0,30,"100%",60
1867,28,1,2,29,"95%",60
1868,21,2,9,28,"82%",60
1869,23,7,7,23,"77%",60
1870,25,9,5,21,"77%",60
1872,30,1,0,29,"98%",60
