"prolific_id","n_hit","n_fa","n_miss","n_cr","acc_229","sum"
"545d37b5fdf99b7f9fca22cb",29,6,1,24,"88%",60
"55c2591cfdf99b4e1d73d685",25,13,5,15,"69%",58
"59875893b24ef30001419ddb",27,27,3,3,"50%",60
"59922ece7d29e70001730450",30,6,0,24,"90%",60
"5a98a5711ade740001b8eef0",25,1,5,29,"90%",60
"5aa18dc7dbdb470001ef2d72",19,2,11,28,"78%",60
"5aa8890a35237b0001131ea3",25,4,5,26,"85%",60
"5aacbb016be3fa00013a3251",10,10,16,12,"46%",48
"5b05a8f6b2cdec0001823d9c",30,0,0,30,"100%",60
"5b5f173d0b6e98000181c586",30,3,0,26,"95%",59
"5badf0aeae1d020001df2cc7",23,9,7,21,"73%",60
"5bc53ba2f8f76e00013cf1ee",24,1,6,29,"88%",60
"5be5efdfddf25500011bd882",26,6,3,24,"85%",59
"5bfb02443db90d0001f542bc",26,16,4,14,"67%",60
"5c07b16bfd9c08000170882a",30,3,0,27,"95%",60
"5c080c4737345100018a266c",27,2,1,27,"95%",57
"5c095f7316902000017f5ac3",30,2,0,28,"97%",60
"5c13b0bcb1c29000011c131c",23,3,6,27,"85%",59
"5c23396210677f0001dae38b",28,0,2,30,"97%",60
"5c37be1aa9872700014c6c80",27,13,3,16,"73%",59
"5c45cf748bb6fd00016455cb",21,10,7,19,"70%",57
"5c598b3704bbff000140a506",27,8,3,22,"82%",60
"5c612e1a6467ac0001b8122d",24,1,6,29,"88%",60
"5c61dea4c96fb30001016ad9",25,9,5,21,"77%",60
"5c6ff96f2d666100018c60f6",28,13,2,16,"75%",59
"5c79016954c5d600175fcbba",27,9,3,20,"80%",59
"5c864c76de8ae1000103cecf",30,5,0,24,"92%",59
"5c94dd61cb58ab0013b9d902",29,0,1,30,"98%",60
"5c9b0d631c8e140014d19fc5",29,9,0,21,"85%",59
"5d14f67aeccb8a0019bf7fdb",25,2,5,28,"88%",60
"5d262da76bd66700172661e1",22,2,5,27,"88%",56
"5d3c95ae98afa00015f636cb",23,15,7,14,"63%",59
"5d46d6a4b30ae500195788f0",30,3,0,27,"95%",60
"5d55d30631022a0016428e41",29,1,0,29,"98%",59
"5d604ab485c2de0016bad3a3",25,8,4,20,"79%",57
"5d6af10e8fabb6001a45d483",29,1,1,29,"97%",60
"5d7374ab99bf5b0018864719",27,2,3,28,"92%",60
"5d7676e5cac29f001978af7b",15,12,15,18,"55%",60
"5d78b90e37d53e001a06e5d8",18,0,4,22,"91%",44
