"prolific_id","n_hit","n_fa","n_miss","n_cr","acc_300","sum"
"545d37b5fdf99b7f9fca22cb",30,8,0,22,"87%",60
"55c2591cfdf99b4e1d73d685",22,11,8,18,"68%",59
"59875893b24ef30001419ddb",25,23,4,7,"54%",59
"59922ece7d29e70001730450",29,4,1,26,"92%",60
"5a98a5711ade740001b8eef0",24,1,6,29,"88%",60
"5aa18dc7dbdb470001ef2d72",7,1,23,29,"60%",60
"5aa8890a35237b0001131ea3",18,4,12,26,"73%",60
"5aacbb016be3fa00013a3251",7,15,18,11,"35%",51
"5b05a8f6b2cdec0001823d9c",29,3,1,27,"93%",60
"5b5f173d0b6e98000181c586",24,4,5,26,"85%",59
"5badf0aeae1d020001df2cc7",20,10,9,17,"66%",56
"5bc53ba2f8f76e00013cf1ee",23,0,7,30,"88%",60
"5be5efdfddf25500011bd882",25,3,4,27,"88%",59
"5bfb02443db90d0001f542bc",23,16,6,14,"63%",59
"5c07b16bfd9c08000170882a",30,10,0,20,"83%",60
"5c080c4737345100018a266c",22,1,6,28,"88%",57
"5c095f7316902000017f5ac3",30,4,0,26,"93%",60
"5c13b0bcb1c29000011c131c",22,1,8,29,"85%",60
"5c23396210677f0001dae38b",25,2,5,28,"88%",60
"5c37be1aa9872700014c6c80",24,14,6,16,"67%",60
"5c45cf748bb6fd00016455cb",20,10,8,19,"68%",57
"5c598b3704bbff000140a506",17,11,13,18,"59%",59
"5c612e1a6467ac0001b8122d",25,0,5,30,"92%",60
"5c61dea4c96fb30001016ad9",29,7,1,23,"87%",60
"5c6ff96f2d666100018c60f6",23,13,7,17,"67%",60
"5c79016954c5d600175fcbba",25,8,5,22,"78%",60
"5c864c76de8ae1000103cecf",28,1,1,28,"97%",58
"5c94dd61cb58ab0013b9d902",25,1,5,29,"90%",60
"5c9b0d631c8e140014d19fc5",27,9,3,21,"80%",60
"5d14f67aeccb8a0019bf7fdb",25,4,5,26,"85%",60
"5d262da76bd66700172661e1",23,6,5,23,"81%",57
"5d3c95ae98afa00015f636cb",19,15,11,15,"57%",60
"5d46d6a4b30ae500195788f0",29,4,1,25,"92%",59
"5d55d30631022a0016428e41",27,5,3,25,"87%",60
"5d604ab485c2de0016bad3a3",26,11,3,16,"75%",56
"5d6af10e8fabb6001a45d483",27,5,3,25,"87%",60
"5d7374ab99bf5b0018864719",25,3,5,27,"87%",60
"5d7676e5cac29f001978af7b",18,16,11,13,"53%",58
"5d78b90e37d53e001a06e5d8",19,2,4,20,"87%",45
"5d7e248487bade0001e6c172",27,1,3,28,"93%",59
"5d9db76a8d7922001729340e",25,14,5,16,"68%",60
"5daccba5ad1260001762c25b",23,4,7,26,"82%",60
"5db0c396ff30f700136bc805",27,1,3,29,"93%",60
"5db1db20830742000a4470b4",16,3,14,27,"72%",60
"5dbd6f66ecdd3f2b18dc2580",23,3,7,26,"83%",59
"5dc13c70444b6e0b1f51eec3",30,10,0,20,"83%",60
"5dcd5aa07e5deb02d76958d2",20,4,10,25,"76%",59
"5dd2759d98981d2840e20a09",27,7,3,23,"83%",60
"5de15e456247ef000dfc8b36",21,6,9,23,"75%",59
"5de9681e6f9b7e09ad24c326",21,5,9,25,"77%",60
"5dec0058da52232e71810e06",28,26,1,0,"51%",55
