"prolific_id","null_count"
"545d37b5fdf99b7f9fca22cb",0
"55c2591cfdf99b4e1d73d685",3
"59875893b24ef30001419ddb",1
"59922ece7d29e70001730450",1
"5a98a5711ade740001b8eef0",0
"5aa18dc7dbdb470001ef2d72",1
"5aa8890a35237b0001131ea3",0
"5aacbb016be3fa00013a3251",32
"5b05a8f6b2cdec0001823d9c",0
"5b5f173d0b6e98000181c586",2
"5badf0aeae1d020001df2cc7",4
"5bc53ba2f8f76e00013cf1ee",1
"5be5efdfddf25500011bd882",2
"5bfb02443db90d0001f542bc",1
"5c07b16bfd9c08000170882a",0
"5c080c4737345100018a266c",7
"5c095f7316902000017f5ac3",0
"5c13b0bcb1c29000011c131c",1
"5c23396210677f0001dae38b",0
"5c37be1aa9872700014c6c80",2
"5c45cf748bb6fd00016455cb",7
"5c598b3704bbff000140a506",1
"5c612e1a6467ac0001b8122d",0
"5c61dea4c96fb30001016ad9",0
"5c6ff96f2d666100018c60f6",1
"5c79016954c5d600175fcbba",1
"5c864c76de8ae1000103cecf",4
"5c94dd61cb58ab0013b9d902",1
"5c9b0d631c8e140014d19fc5",1
"5d14f67aeccb8a0019bf7fdb",1
"5d262da76bd66700172661e1",9
"5d3c95ae98afa00015f636cb",1
"5d46d6a4b30ae500195788f0",1
"5d55d30631022a0016428e41",1
"5d604ab485c2de0016bad3a3",7
"5d6af10e8fabb6001a45d483",0
"5d7374ab99bf5b0018864719",0
"5d7676e5cac29f001978af7b",5
"5d78b90e37d53e001a06e5d8",46
"5d7e248487bade0001e6c172",2
"5d9db76a8d7922001729340e",0
"5daccba5ad1260001762c25b",0
"5db0c396ff30f700136bc805",0
"5db1db20830742000a4470b4",0
"5dbd6f66ecdd3f2b18dc2580",3
"5dc13c70444b6e0b1f51eec3",0
"5dcd5aa07e5deb02d76958d2",2
"5dd2759d98981d2840e20a09",3
"5de15e456247ef000dfc8b36",1
"5de9681e6f9b7e09ad24c326",0
"5dec0058da52232e71810e06",23
"5df3c9a0ef7f5e2a439e436e",1
"5df50a49a98a7a3924e4137e",2
"5dffc4c8265c80bee3e29c2d",1
"5e015e48946e97d428a04739",12
"5e0477f613ec50f00c452845",5
"5e095b09b6385323681f4097",36
"5e1f46d7ded49f273e668b53",0
"5e25529eab132b7bb83842f1",0
"5e316786814a08000dfb4bdb",0
"5e4167bcf0cb003996e25ca4",0
"5e42bca17e337314fd24894b",0
"5e45ae4754f56d099400d6df",0
"5e4ad10709a6b7000a37f918",11
"5e503fa37cbf4308d1131e52",2
"5e582888ad019803dba551c4",4
"5e5e449c85f6ea15d731714a",0
"5e601fc1a361d5000c494d70",1
"5e722b8cffc65d01103bbc8a",0
"5e77a0db24d7c931311dd356",3
"5e7bb30e3f9fe31d223a0f04",1
"5e7f717ffa7e820283155b82",2
"5e81f5cfb7838b90005982bd",12
"5e8208d95442a6028e919b7f",1
"5e8214099c77a703baa06067",0
"5e8233832ca9860790d4d2f5",0
"5e85eda5501bc3035b24d9eb",1
"5e889c2d3aa428000bbf212e",1
"5e89e89bf025be000c01eead",2
"5e8a38ffc5f477073ee6e9f3",0
"5e8b4b875ac5d50009845a7b",3
"5e8b811dcdbb58057efa41cd",0
"5e90f4e46e07c842cce01aa2",4
"5e916b5271c53949d696abba",1
"5e91bb3e4d246b4db5408d67",1
"5e9b09b6aff5bd0009133151",1
"5ea088cdb617dc06db511d08",0
"5ea6ff1a2180430a9ad065fa",1
"5ea95e9500721703bfe1f46b",0
"5eaecf00e002645a4e1f7417",8
"5eb170206e577a07e9954c65",0
"5eb29fb2f3a18001d2e58416",4
"5ebd50ddb6a8d902ad31d9ec",3
"5ebd5618c83ba403c47de464",1
"5ec06105afc3710d3ece8896",0
"5ec08b60b585e0347768bb09",0
"5ec251b67b846b0113ac8e5c",1
"5ec27310823652045f1e3597",1
"5ec3022338a19e143412435f",4
"5ec3b9e83f187802a6aa041e",0
"5ecbb2347a5125043b1d3588",1
"5ecd3478898cb206f41c86e0",9
"5ed416a5b45e9d0ca2e233f6",1
"5ed772653b309d023ca48655",1
"5eda126ec6a418029cb19e91",1
"5ede918b4280d611f9a38200",0
"5ede9653252ba51223688917",3
"5ee24067b1d0696a7834463e",18
"5ee4152d9776d110b4445fdf",2
"5ee77a7099ecf00464f49455",0
"5ee8ceb850ff321f9c977c5c",1
"5eea42003e537f10bc27959d",1
"5eeaa0ffaa6af11cf32ce057",1
"5eeb414cfe8e6a02516fc245",0
"5eeb78fa8931bf2d402dae9e",1
"5eec906e64e58301daaca6c0",0
"5eed15f46a9e0d11f19f405d",1
"5eed229c7c5a171282476bb8",1
"5eef09eb6db5543c11297022",0
"5ef5d56a65a4f102ee59634d",3
"5ef9a3f085fd347438975462",2
"5efa06a7540ce97e3ed866f8",0
"5efa131512ad19803bc3d2fd",1
"5efd2964d36f63162f263795",2
"5effb373e52eda0a74ec4015",3
"5f0094fc2e1a9e1b4ea12b2e",5
"5f01bf065d902430eb9e209b",1
"5f07c1e322eb5a4022095cbd",5
"5f09cb729bf14505753e5bd8",1
"5f0b062853f8960008793934",0
"5f1036d3e4b5530008812141",1
"5f10d1960878f0401ddc72ba",1
"5f1164d8aca7f8000cca2709",0
"5f1733f79af14006b505ed46",1
"5f1ddd17b44cb7301bc337ef",2
"5f1f19934d3c1c0c62cb319e",22
"5f207db04d3c1c3935e1b821",2
"5f22c8019c9a3b0008eb2f22",4
"5f2345de5a990d0f6226443c",0
"5f26d665a193a500095f564e",1
"5f2a942116fd782e845c42e9",1
"5f3244131f74f3194ba62f1b",1
"5f32b3927efd290120b866c7",0
"5f37f709b66267082f6f3992",1
"5f380897822a9e2bfd9c5963",48
"5f3ac193f436407465a3d08e",0
"5f3cf75f2982e903fb34b9f6",2
"5f3e8dbbf008950bf0646f39",1
"5f45282b8515140ace81cb44",0
"5f4557043bf01d125f02f01a",2
"5f477a85d919ec03cadfaddd",1
"5f47d4b3a08b212137abc4c7",3
"5f491a3555e3b941751215e2",1
"5f496df08d19d84cde035c29",1
"5f4b6001f958ee71ec91df89",11
"5f4b925345981175b1355872",2
"5f4e5f7594d42c0232e53b97",5
"5f50dcf27fc3a5275d7047c0",1
"5f5362c1a448d7668ec843e4",4
"5f578fcd87cb442352a8ac79",1
"5f58c7ea83941b059cfb928c",2
"5f59fd63f7e04902c806f680",5
"5f5b5fbd8ef13206a0f27805",2
"5f5c21d8af246b40932ec609",0
"5f5c947a5b5eb447ee802a19",4
"5f6481e71e733c21b974c52e",2
"5f66363877c78d1f9dc318bc",1
"5f672de82c0f4631857bb4a7",2
"5f67bc66777bfd3f9906742c",5
"5f68924358c48c0638b1eee1",6
"5f6a576e0e6c0e10b19b9b41",5
"5f6a7f502e98bc152bd3b037",1
"5f6cd5ce1758e90f12ae1123",5
"5f6f24f71b1cd746e9ded65e",0
"5f733f953409c7015fc43d26",1
"5f7345ef4b3fc3027203ecf1",7
"5f7627b46c029a08e8ca87a1",4
"5f7b2d43d76dea07bbf5b9bb",2
"5f7dd177bcf2a803e18fd2f0",0
"5f7f1e4acf7c770505c14357",0
"5f7f4a99ddc9cb0b87490fe9",1
"5f8370c6e0804f4fb492bcdc",2
"5f8472685956c40c720d0936",1
"5f848bc5c4a378107eedffca",23
"5f881e431b4e41266d8644ac",3
