"session_id","response_id","prolific_id","ip","education","gender","age","country","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","fw","de","du","trb","psi","witchcraft","superstition","spiritualism","elf","precognition","rpbs","n_hit","n_fa","n_miss","n_cr","acc_88","sum","dprime","beta","aprime","bppd","c"
1532,195,"5ba4f08afe7a2a000181aa95","93.176.139.100","bachelor's degree","Female","25","Spain",6,7,6,3,7,5,5,5,6,3,1,4,3,3,5,5,1,1,1,1,1,2,4,1,5,1,1,1,1,1,1,2,1,6,4,1,1,1,5,1,1,20,23,26,11,4,13,3,9,6,5,51,17,0,13,30,"78%",60,2.3036274936133,9.76859888731104,0.891666666666667,1,0.989384374165366
1533,199,"5c59ceb27e554c0001257ff4","176.63.18.253","BA","female","28","Hungary",5,2,4,6,2,6,5,2,6,5,4,6,5,2,6,4,4,5,1,5,1,1,1,5,5,1,5,1,1,1,4,4,1,4,6,5,2,5,5,4,5,26,12,28,8,18,19,3,18,8,12,86,25,3,5,27,"87%",60,2.1364766907755,1.35730740734448,0.923703703703704,0.213592233009709,0.142993785533597
1534,196,"5e81c7b87412d48be61aaaab","93.34.232.6","master's degree","female","26","italy",5,4,6,4,5,4,3,5,6,3,4,6,5,4,6,4,3,5,1,3,1,1,5,2,3,1,5,1,1,7,3,1,1,1,5,4,6,3,3,2,5,20,22,28,22,11,12,3,11,7,11,77,28,6,2,24,"87%",60,2.20828610325065,0.519451362871811,0.925595238095238,-0.44,-0.29660200950525
1535,200,"5ee69051cbcb070694442b70","79.32.7.146","Bachelor's Degree","Male","25","Italy",6,3,1,5,2,1,5,1,1,5,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,23,11,9,4,10,4,3,4,9,4,38,24,1,6,29,"88%",60,2.46823865267412,2.865941763729,0.937859195402299,0.664739884393064,0.426578284216983
1536,198,"5ec11bc32098320117b00b57","81.155.139.64","College","Female","30","Scotland",5,6,7,5,6,7,5,3,7,4,1,7,2,1,7,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,17,35,16,16,16,12,17,12,16,105,8,9,22,21,"48%",60,-0.0942451218240337,0.949212248608015,0.460858585858586,0.0356164383561643,0.553056215077829
1537,197,"5eaf0da7fec73d5fae04f202","193.164.134.10","High School","Female","23","Poland",5,6,6,5,5,3,4,5,6,3,4,4,5,6,6,4,4,5,1,6,2,5,4,5,6,1,5,4,2,1,4,4,1,5,7,5,2,6,6,5,5,22,26,25,11,19,21,3,21,13,17,105,19,6,11,24,"72%",60,1.1368323890982,1.31238339778836,0.806469298245614,0.18413597733711,0.239124847570977
1539,201,"5e83476d81f739028be530fc","84.0.68.204","Bsc Student","Male","22","Hungary",7,4,4,7,2,3,5,1,3,7,2,2,6,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,32,11,17,5,5,4,3,4,6,4,31,24,7,6,23,"78%",60,1.50763125472764,0.922195430279584,0.861865942028986,-0.0557377049180328,-0.0537254147562548
1540,202,"5f7ee064ed86011cdcf62570","102.182.209.70","University Degree","Male","27","South Africa",7,3,6,7,2,2,7,2,5,7,3,3,6,5,5,7,1,1,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,1,5,1,6,7,1,1,1,34,15,21,26,10,4,3,4,7,4,58,28,1,2,29,"95%",60,3.06144267168462,1.48871735508027,0.973830049261084,0.317647058823529,0.129976274711733
1542,215,"5f833cbefb3ac80bfbc4906d","82.36.16.184","University","Male","19","UK",6,2,2,3,3,4,2,2,6,5,2,6,5,2,5,4,1,2,1,1,3,1,4,1,1,1,1,5,1,4,1,1,1,4,7,6,4,1,2,3,3,21,11,23,16,4,6,3,9,15,11,64,19,5,14,25,"70%",63,1.11061157714375,1.50811161518349,0.800358851674641,0.275014979029359,0.369938771282278
1543,217,"5d8794b64a462d001a65469d","94.60.117.88","Masters","Male","24","Portugal",5,3,4,4,3,4,5,3,4,5,5,5,4,3,5,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,4,7,4,2,3,1,1,2,23,17,22,12,6,4,3,7,9,8,49,9,2,21,28,"62%",60,0.894811406964765,2.34681462967411,0.756944444444444,0.542857142857143,0.953339357648194
