"session_id","response_id","prolific_id","ip","education","gender","age","country","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","fw","de","du","trb","psi","witchcraft","superstition","spiritualism","elf","precognition","rpbs","n_hit","n_fa","n_miss","n_cr","acc_43","sum","dprime","beta","aprime","bppd","c"
1518,192,"5df76aff2d2185502504d15c","94.62.234.202","Master Degree","Female","38","Portugal",6,4,7,7,5,7,7,6,7,6,1,7,7,2,7,4,1,5,1,4,1,1,1,4,4,1,4,1,1,4,4,5,1,2,5,4,1,5,5,4,5,33,18,35,10,14,19,3,14,7,11,78,21,3,9,27,"80%",60,1.71716578508716,1.83227287845097,0.880952380952381,0.4,0.352649238377767
1520,183,"5e7d0465ac2c2737d3a6bd9c","195.162.115.162","Bachelors Degree","Female","22","UK",5,6,7,7,4,3,6,4,6,7,4,5,6,4,6,7,1,7,1,3,5,1,7,1,6,1,6,7,1,7,1,1,1,1,4,5,7,1,5,1,1,31,22,27,28,4,19,3,11,16,8,89,28,17,2,13,"68%",60,1.23831568848929,0.379898292807707,0.809752747252747,-0.595667870036101,-0.781587216885931
1521,184,"5f1abcf92171f82034b6093a","89.65.11.57","high-school","female","21","Poland",5,4,6,6,6,5,2,3,5,3,1,7,5,3,7,4,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,1,4,7,1,2,2,2,1,1,21,17,30,9,5,6,3,9,11,5,48,29,4,1,26,"92%",60,2.71811183904042,0.44047752717011,0.955901856763926,-0.56390977443609,-0.30164169103383
1522,187,"5f1d54fa5eec2220763e0831","94.42.191.59","bachelor's degree","male","26","Poland",3,3,5,5,3,3,5,3,5,6,4,6,4,4,7,4,1,1,1,5,1,5,4,1,1,1,5,1,1,4,1,1,1,4,5,1,4,5,1,1,3,23,17,26,16,8,4,3,15,7,10,63,22,4,8,26,"80%",60,1.65759300447623,1.46075751013819,0.877622377622378,0.257142857142857,0.228617726248268
1523,185,"5dc0077fd819104566394afa","80.103.116.249","Studying a degree","Male","18","Spain",3,3,6,5,3,3,5,3,6,3,3,6,5,5,6,4,3,3,2,5,3,2,4,3,3,2,3,1,3,3,2,2,2,4,5,5,4,5,4,4,3,21,17,27,15,13,12,6,16,9,13,84,29,0,1,30,"98%",60,3.80189573152606,2.49279960883685,0.991666666666667,1,0.240250255208988
1524,186,"5f1068a369fc9e1951644f63","83.29.225.9","high school diploma","female","20","Poland",6,2,1,6,2,1,6,1,1,7,2,3,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,2,1,1,1,28,8,7,4,5,4,3,4,11,9,40,23,4,7,26,"82%",60,1.75750444109395,1.36888874055489,0.889214046822743,0.215094339622641,0.178662007939407
1525,188,"5dd956bd3269928d1466b921","94.63.156.66","completing my masters degree","male","22","Portugal",6,3,4,5,3,4,6,3,6,5,5,4,6,3,2,5,4,1,2,3,5,1,3,4,1,1,3,4,1,5,1,1,1,4,7,5,4,1,1,4,2,28,17,20,17,10,4,4,14,16,9,74,29,1,1,29,"97%",60,3.32139522110808,1,0.982758620689655,-1.07672491612354e-16,0
1526,189,"5c6bdd82e85e1e0001d4e220","80.181.56.136","university student","F","36","Italy",6,2,3,6,5,3,2,3,5,5,2,5,3,3,5,4,1,2,1,1,1,1,1,1,2,1,4,1,1,4,1,1,1,4,5,2,1,6,1,2,5,22,15,21,10,9,6,3,11,7,9,55,27,8,3,22,"82%",60,1.81141090691119,0.574971757999416,0.891835016835017,-0.369649805447471,-0.30552667746575
1527,190,"5ee00d770fc66934e2600d81","83.54.127.113","High School","Male","20","Spain",6,5,6,6,5,6,5,5,7,7,3,3,6,6,6,4,1,1,2,1,1,2,4,1,1,1,1,1,1,4,1,1,1,1,7,1,4,4,1,4,1,30,24,28,16,7,4,4,7,9,5,52,29,5,1,25,"90%",60,2.58594217040819,0.386385567288154,0.946896551724138,-0.623376623376623,-0.367726525349945
1528,191,"5f632ea32e85353d93872c67","80.98.231.221","highschool degree","male","21","Hungary",3,3,6,2,6,7,1,4,6,2,6,7,1,6,7,6,4,7,6,4,4,1,3,4,7,6,6,5,1,1,4,7,1,5,7,6,1,6,7,6,6,9,25,33,11,18,28,13,21,16,14,121,22,1,8,29,"85%",60,2.26087638654389,3.31630428349653,0.919670846394984,0.717073170731708,0.530259417282098
1529,194,"5e6562347c61012cf9b0d5c2","79.65.207.155","Degree","Male","38","UK",5,5,4,4,5,4,5,4,4,5,3,4,5,4,4,4,5,3,3,3,4,3,4,5,4,5,5,5,4,4,4,4,3,3,3,3,3,4,3,4,3,24,21,20,15,18,14,11,15,12,13,98,28,2,2,28,"93%",60,2.80149012226115,1,0.964285714285714,-1.11517937741366e-16,1.11022302462516e-16
1530,418,"5f0809545b9786000861c866","81.161.193.110","High School","Nonbinary","20","Poland",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,35,35,35,28,22,28,21,28,21,28,176,20,17,10,13,"55%",60,0.253557847548389,0.929293152279865,0.595192307692308,-0.0498812351543943,-0.28920829641548
1532,195,"5ba4f08afe7a2a000181aa95","93.176.139.100","bachelor's degree","Female","25","Spain",6,7,6,3,7,5,5,5,6,3,1,4,3,3,5,5,1,1,1,1,1,2,4,1,5,1,1,1,1,1,1,2,1,6,4,1,1,1,5,1,1,20,23,26,11,4,13,3,9,6,5,51,26,7,4,23,"82%",60,1.75750444109395,0.730519559679222,0.889214046822743,-0.215094339622642,-0.178662007939407
1533,199,"5c59ceb27e554c0001257ff4","176.63.18.253","BA","female","28","Hungary",5,2,4,6,2,6,5,2,6,5,4,6,5,2,6,4,4,5,1,5,1,1,1,5,5,1,5,1,1,1,4,4,1,4,6,5,2,5,5,4,5,26,12,28,8,18,19,3,18,8,12,86,28,5,2,25,"88%",60,2.32598962098473,0.575218899774409,0.935357142857143,-0.38121546961326,-0.237750250638212
1534,196,"5e81c7b87412d48be61aaaab","93.34.232.6","master's degree","female","26","italy",5,4,6,4,5,4,3,5,6,3,4,6,5,4,6,4,3,5,1,3,1,1,5,2,3,1,5,1,1,7,3,1,1,1,5,4,6,3,3,2,5,20,22,28,22,11,12,3,11,7,11,77,27,8,3,22,"82%",60,1.81141090691119,0.574971757999416,0.891835016835017,-0.369649805447471,-0.30552667746575
1535,200,"5ee69051cbcb070694442b70","79.32.7.146","Bachelor's Degree","Male","25","Italy",6,3,1,5,2,1,5,1,1,5,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,23,11,9,4,10,4,3,4,9,4,38,29,2,1,28,"95%",60,3.06144267168462,0.671719179324059,0.973830049261084,-0.31764705882353,-0.129976274711733
1536,198,"5ec11bc32098320117b00b57","81.155.139.64","College","Female","30","Scotland",5,6,7,5,6,7,5,3,7,4,1,7,2,1,7,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,17,35,16,16,16,12,17,12,16,105,23,17,7,13,"60%",60,0.537660839966281,0.793048021569875,0.680602006688963,-0.157068062827225,-0.431259792624426
1537,197,"5eaf0da7fec73d5fae04f202","193.164.134.10","High School","Female","23","Poland",5,6,6,5,5,3,4,5,6,3,4,4,5,6,6,4,4,5,1,6,2,5,4,5,6,1,5,4,2,1,4,4,1,5,7,5,2,6,6,5,5,22,26,25,11,19,21,3,21,13,17,105,26,7,4,23,"82%",60,1.75750444109395,0.730519559679222,0.889214046822743,-0.215094339622642,-0.178662007939407
1539,201,"5e83476d81f739028be530fc","84.0.68.204","Bsc Student","Male","22","Hungary",7,4,4,7,2,3,5,1,3,7,2,2,6,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,32,11,17,5,5,4,3,4,6,4,31,26,2,4,28,"90%",60,2.45815928961696,1.52497945500099,0.945054945054945,0.3,0.171665416322098
1540,202,"5f7ee064ed86011cdcf62570","102.182.209.70","University Degree","Male","27","South Africa",7,3,6,7,2,2,7,2,5,7,3,3,6,5,5,7,1,1,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,1,5,1,6,7,1,1,1,34,15,21,26,10,4,3,4,7,4,58,30,2,0,28,"97%",60,3.5419431821026,0.269463769547639,0.983333333333333,-1,-0.370226529920721
