"session_id","n_hit","n_fa","n_miss","n_cr","acc_43","sum"
1518,21,3,9,27,"80%",60
1520,28,17,2,13,"68%",60
1521,29,4,1,26,"92%",60
1522,22,4,8,26,"80%",60
1523,29,0,1,30,"98%",60
1524,23,4,7,26,"82%",60
1525,29,1,1,29,"97%",60
1526,27,8,3,22,"82%",60
1527,29,5,1,25,"90%",60
1528,22,1,8,29,"85%",60
1529,28,2,2,28,"93%",60
1530,20,17,10,13,"55%",60
1532,26,7,4,23,"82%",60
1533,28,5,2,25,"88%",60
1534,27,8,3,22,"82%",60
1535,29,2,1,28,"95%",60
1536,23,17,7,13,"60%",60
1537,26,7,4,23,"82%",60
1539,26,2,4,28,"90%",60
1540,30,2,0,28,"97%",60
1542,27,6,7,25,"80%",65
1543,17,2,13,28,"75%",60
1544,30,0,0,30,"100%",60
1545,29,1,1,29,"97%",60
1546,30,1,0,29,"98%",60
1547,21,9,8,21,"71%",59
1548,27,0,3,30,"95%",60
1549,22,2,8,28,"83%",60
1550,30,2,0,28,"97%",60
1551,25,2,5,28,"88%",60
1552,21,8,9,22,"72%",60
1553,30,0,0,30,"100%",60
1554,27,2,2,28,"93%",59
1555,19,0,11,30,"82%",60
1556,23,21,7,9,"53%",60
1557,30,0,0,30,"100%",60
1558,29,0,1,30,"98%",60
1559,22,10,8,20,"70%",60
1560,30,2,0,28,"97%",60
1561,17,2,13,28,"75%",60
1562,27,12,3,18,"75%",60
1563,27,18,3,12,"65%",60
1564,23,18,7,12,"58%",60
1565,28,4,2,26,"90%",60
1566,29,1,1,29,"97%",60
1567,21,3,9,27,"80%",60
1568,11,6,19,24,"58%",60
1569,19,9,11,21,"67%",60
1570,30,4,0,26,"93%",60
1571,21,8,9,22,"72%",60
1573,17,9,13,21,"63%",60
1574,30,1,0,29,"98%",60
1575,27,0,1,30,"98%",58
1576,26,4,4,26,"87%",60
1577,29,7,1,23,"87%",60
1578,22,0,8,30,"87%",60
1579,28,2,2,28,"93%",60
1580,29,3,1,27,"93%",60
1581,27,6,3,24,"85%",60
1582,23,10,7,20,"72%",60
1583,27,0,3,30,"95%",60
1584,26,3,4,27,"88%",60
1585,24,3,6,27,"85%",60
1588,23,5,7,25,"80%",60
1589,24,14,6,16,"67%",60
1590,16,13,14,17,"55%",60
1591,29,0,1,30,"98%",60
1592,27,0,3,30,"95%",60
1593,30,0,1,29,"98%",60
1594,27,9,4,21,"79%",61
1595,30,2,0,28,"97%",60
1596,27,0,3,30,"95%",60
1598,29,1,0,28,"98%",58
1599,28,0,2,30,"97%",60
1600,30,0,0,30,"100%",60
1601,21,0,9,30,"85%",60
1602,29,3,1,27,"93%",60
1603,28,3,2,27,"92%",60
1604,28,0,1,30,"98%",59
1605,29,1,1,29,"97%",60
1606,27,18,3,12,"65%",60
1607,29,1,1,29,"97%",60
1608,30,2,0,28,"97%",60
1609,27,2,2,28,"93%",59
1610,27,0,3,30,"95%",60
1612,25,11,4,19,"75%",59
1613,24,16,6,14,"63%",60
1614,15,8,15,22,"62%",60
1615,30,4,0,26,"93%",60
1616,22,15,8,15,"62%",60
1618,30,3,0,27,"95%",60
1619,30,1,0,29,"98%",60
