prolific_id,n_hit,n_fa,n_miss,n_cr,acc_300,sum,dprime,beta,aprime,bppd,c
545d37b5fdf99b7f9fca22cb,30,8,0,22,87%,60,2.741376897,0.120964591,0.933333333,-1,-0.770509672
55c2591cfdf99b4e1d73d685,22,11,8,18,68%,59,0.896916614,0.872772276,0.763282248,-0.09252765,-0.151720469
59875893b24ef30001419ddb,25,23,4,7,54%,59,0.336343177,0.746743197,0.629883415,-0.201423241,-0.868261801
59922ece7d29e70001730450,29,4,1,26,92%,60,2.718111839,0.440477527,0.955901857,-0.563909774,-0.301641691
5a98a5711ade740001b8eef0,24,1,6,29,88%,60,2.468238653,2.865941764,0.937859195,0.664739884,0.426578284
5aa18dc7dbdb470001ef2d72,7,1,23,29,60%,60,0.960607398,3.10773798,0.766009852,0.694736842,1.180393912
5aa8890a35237b0001131ea3,18,4,12,26,73%,60,1.302420452,1.697316375,0.829059829,0.35,0.406204003
5aacbb016be3fa00013a3251,7,15,18,11,35%,51,-0.744640884,0.870942971,0.268235043,0.09532079,0.185564321
5b05a8f6b2cdec0001823d9c,29,3,1,27,93%,60,2.871929741,0.524443993,0.964878672,-0.472727273,-0.22473274
5b5f173d0b6e98000181c586,24,4,5,26,85%,59,1.96014902,1.163691609,0.909987474,0.105062825,0.077339718
5badf0aeae1d020001df2cc7,20,10,9,17,66%,56,0.795679792,0.938926326,0.742515589,-0.042853496,-0.079200532
5bc53ba2f8f76e00013cf1ee,23,0,7,30,88%,60,2.841288334,7.746968021,0.941666667,1,0.720553954
5be5efdfddf25500011bd882,25,3,4,27,88%,59,2.24766552,1.217067835,0.932685824,0.138368718,0.087399371
5bfb02443db90d0001f542bc,23,16,6,14,63%,59,0.702553085,0.738111644,0.72104662,-0.205333606,-0.432223833
5c07b16bfd9c08000170882a,30,10,0,20,83%,60,2.557185341,0.110157732,0.916666667,-1,-0.86260545
5c080c4737345100018a266c,22,1,6,28,88%,57,2.403146184,2.901616299,0.933543519,0.669805361,0.443280535
5c095f7316902000017f5ac3,30,4,0,26,93%,60,3.198612349,0.176699934,0.966666667,-1,-0.541891946
5c13b0bcb1c29000011c131c,22,1,8,29,85%,60,2.260876387,3.316304283,0.919670846,0.717073171,0.530259417
5c23396210677f0001dae38b,25,2,5,28,88%,60,2.325989621,1.738468608,0.935357143,0.38121547,0.237750251
5c37be1aa9872700014c6c80,24,14,6,16,67%,60,0.888488333,0.7241295,0.760416667,-0.217391304,-0.363296876
5c45cf748bb6fd00016455cb,20,10,8,19,68%,57,0.929661381,0.928748234,0.770287788,-0.050790068,-0.079510224
5c598b3704bbff000140a506,17,11,13,18,59%,59,0.459167211,1.031315345,0.658120164,0.021043177,0.067154233
5c612e1a6467ac0001b8122d,25,0,5,30,92%,60,3.066442681,6.451585721,0.958333333,1,0.607976781
5c61dea4c96fb30001016ad9,29,7,1,23,87%,60,2.360787823,0.321777449,0.928785607,-0.694736842,-0.480303699
5c6ff96f2d666100018c60f6,23,13,7,17,67%,60,0.862519585,0.793048022,0.755754476,-0.157068063,-0.26883042
5c79016954c5d600175fcbba,25,8,5,22,78%,60,1.525423336,0.780413426,0.863181818,-0.169435216,-0.162532892
5c864c76de8ae1000103cecf,28,1,1,28,97%,58,3.289707254,1,0.982142857,-6.25E-16,5.55E-16
5c94dd61cb58ab0013b9d902,25,1,5,29,90%,60,2.58594217,2.588088388,0.946896552,0.623376623,0.367726525
5c9b0d631c8e140014d19fc5,27,9,3,21,80%,60,1.717165785,0.545770235,0.880952381,-0.4,-0.352649238
5d14f67aeccb8a0019bf7fdb,25,4,5,26,85%,60,1.982658788,1.139994773,0.911923077,0.091703057,0.066084834
5d262da76bd66700172661e1,23,6,5,23,81%,57,1.662668094,0.92354891,0.880742664,-0.056010776,-0.047833672
5d3c95ae98afa00015f636cb,19,15,11,15,57%,60,0.329291347,0.947227109,0.619298246,-0.036866359,-0.164645673
5d46d6a4b30ae500195788f0,29,4,1,25,92%,59,2.697131,0.430907775,0.954661514,-0.573577879,-0.312132111
5d55d30631022a0016428e41,27,5,3,25,87%,60,2.136476691,0.736752776,0.923703704,-0.213592233,-0.142993786
5d604ab485c2de0016bad3a3,26,11,3,16,75%,56,1.417524126,0.50422088,0.84275377,-0.444918439,-0.483054109
5d6af10e8fabb6001a45d483,27,5,3,25,87%,60,2.136476691,0.736752776,0.923703704,-0.213592233,-0.142993786
5d7374ab99bf5b0018864719,25,3,5,27,87%,60,2.136476691,1.357307407,0.923703704,0.213592233,0.142993786
5d7676e5cac29f001978af7b,18,16,11,13,53%,58,0.171076491,0.964513659,0.566239316,-0.024630542,-0.211199593
5d78b90e37d53e001a06e5d8,19,2,4,20,87%,45,2.120641121,1.443744244,0.924661951,0.269639652,0.173174001
5d7e248487bade0001e6c172,27,1,3,28,93%,59,2.856085758,1.857497385,0.964528599,0.459928633,0.216810748
5d9db76a8d7922001729340e,25,14,5,16,68%,60,1.00619185,0.653925064,0.781875,-0.283667622,-0.422148635
5daccba5ad1260001762c25b,23,4,7,26,82%,60,1.757504441,1.368888741,0.889214047,0.21509434,0.178662008
5db0c396ff30f700136bc805,27,1,3,29,93%,60,2.871929741,1.906781304,0.964878672,0.472727273,0.22473274
5db1db20830742000a4470b4,16,3,14,27,72%,60,1.292179421,2.075631419,0.82349537,0.468852459,0.56514242
5dbd6f66ecdd3f2b18dc2580,23,3,7,26,83%,59,1.891906384,1.592252596,0.901202764,0.317123944,0.24586298
5dc13c70444b6e0b1f51eec3,30,10,0,20,83%,60,2.557185341,0.110157732,0.916666667,-1,-0.86260545
5dcd5aa07e5deb02d76958d2,20,4,10,25,76%,59,1.45242061,1.569213286,0.851609195,0.302865995,0.310223085
5dd2759d98981d2840e20a09,27,7,3,23,83%,60,1.911322344,0.613559224,0.90257649,-0.330578512,-0.255570959
5de15e456247ef000dfc8b36,21,6,9,23,75%,59,1.28943403,1.195963322,0.831543157,0.122723372,0.138783361
5de9681e6f9b7e09ad24c326,21,5,9,25,77%,60,1.431178214,1.349932129,0.85047619,0.203821656,0.209655453
5dec0058da52232e71810e06,28,26,1,0,51%,55,-0.440501939,2.274095046,0.24137931,-1,-1.865104596
5df3c9a0ef7f5e2a439e436e,28,1,2,29,95%,60,3.061442672,1.488717355,0.973830049,0.317647059,0.129976275
5df50a49a98a7a3924e4137e,19,17,11,13,53%,60,0.166861974,0.959805379,0.564777328,-0.027906977,-0.24586036
5dffc4c8265c80bee3e29c2d,28,1,1,29,97%,59,3.305551238,1.02653243,0.982451093,0.016354433,0.007921992
5e015e48946e97d428a04739,16,17,14,9,45%,56,-0.299378351,1.071487173,0.389361129,-0.047467523,-0.230636466
5e0477f613ec50f00c452845,25,15,5,14,66%,59,0.883455262,0.652355529,0.758518062,-0.285167871,-0.483516929
5e095b09b6385323681f4097,21,0,4,23,92%,48,2.978909907,5.106903527,0.96,1,0.547379178
5e1f46d7ded49f273e668b53,22,3,8,27,82%,60,1.811410907,1.739215859,0.891835017,0.369649805,0.305526677
5e25529eab132b7bb83842f1,20,6,10,24,73%,60,1.223528262,1.270662711,0.820833333,0.162790698,0.195776911
5e316786814a08000dfb4bdb,30,1,0,29,98%,60,3.801895732,0.40115539,0.991666667,-1,-0.240250255
5e4167bcf0cb003996e25ca4,28,9,2,21,82%,60,1.906678715,0.426109496,0.895833333,-0.542857143,-0.447405703
5e42bca17e337314fd24894b,20,4,10,26,77%,60,1.473401449,1.60406293,0.853846154,0.315789474,0.320713504
5e45ae4754f56d099400d6df,17,3,13,27,73%,60,1.373661504,2.055152361,0.835511983,0.463576159,0.524401379
