prolific_id,n_hit,n_fa,n_miss,n_cr,acc_229,sum,dprime,beta,aprime,bppd,c
545d37b5fdf99b7f9fca22cb,29,6,1,24,88%,60,2.468238653,0.348925443,0.937859195,-0.664739884,-0.426578284
55c2591cfdf99b4e1d73d685,25,13,5,15,69%,58,1.011787928,0.654231594,0.782936508,-0.283363803,-0.419350596
59875893b24ef30001419ddb,27,27,3,3,50%,60,0,1,0.5,0,-1.211232131
59922ece7d29e70001730450,30,6,0,24,90%,60,2.948739163,0.139973322,0.95,-1,-0.666828539
5a98a5711ade740001b8eef0,25,1,5,29,90%,60,2.58594217,2.588088388,0.946896552,0.623376623,0.367726525
5aa18dc7dbdb470001ef2d72,19,2,11,28,78%,60,1.730036408,2.526479843,0.875469925,0.577358491,0.535726857
5aa8890a35237b0001131ea3,25,4,5,26,85%,60,1.982658788,1.139994773,0.911923077,0.091703057,0.066084834
5aacbb016be3fa00013a3251,10,10,16,12,46%,48,-0.173015665,0.96670625,0.433129371,0.02320888,0.195708314
5b05a8f6b2cdec0001823d9c,30,0,0,30,100%,60,4.282396242,1,1,-1,0
5b5f173d0b6e98000181c586,30,3,0,26,95%,59,3.333014293,0.205532357,0.974137931,-0.08,-0.474690975
5badf0aeae1d020001df2cc7,23,9,7,21,73%,60,1.206023867,0.889515166,0.81884058,0.664739884,-0.097078279
5bc53ba2f8f76e00013cf1ee,24,1,6,29,88%,60,2.468238653,2.865941764,0.937859195,-0.266089575,0.426578284
5be5efdfddf25500011bd882,26,6,3,24,85%,59,1.999357214,0.681028158,0.911903183,-0.365853659,-0.192137565
5bfb02443db90d0001f542bc,26,16,4,14,67%,60,0.976466938,0.573621107,0.774725275,-1,-0.569180759
5c07b16bfd9c08000170882a,30,3,0,27,95%,60,3.352430252,0.210383535,0.975,-0.301784973,-0.464982995
5c080c4737345100018a266c,27,2,1,27,95%,57,3.011355534,0.691118446,0.972530104,-1,-0.12268364
5c095f7316902000017f5ac3,30,2,0,28,97%,60,3.541943182,0.26946377,0.983333333,0.291590622,-0.37022653
5c13b0bcb1c29000011c131c,23,3,6,27,85%,59,1.994732506,1.532047718,0.911006997,1,0.213865878
5c23396210677f0001dae38b,28,0,2,30,97%,60,3.541943182,3.71107404,0.983333333,-0.466389369,0.37022653
5c37be1aa9872700014c6c80,27,13,3,16,73%,59,1.336893478,0.484011675,0.830166427,-0.092935466,-0.542785392
5c45cf748bb6fd00016455cb,21,10,7,19,70%,57,1.032924049,0.873314733,0.789662734,-0.369649805,-0.131141558
5c598b3704bbff000140a506,27,8,3,22,82%,60,1.811410907,0.574971758,0.891835017,0.664739884,-0.305526677
5c612e1a6467ac0001b8122d,24,1,6,29,88%,60,2.468238653,2.865941764,0.937859195,-0.203821656,0.426578284
5c61dea4c96fb30001016ad9,25,9,5,21,77%,60,1.431178214,0.740777983,0.85047619,-0.597978625,-0.209655453
5c6ff96f2d666100018c60f6,28,13,2,16,75%,59,1.526406408,0.37789157,0.849717775,-0.407954945,-0.637541857
5c79016954c5d600175fcbba,27,9,3,20,80%,59,1.688272559,0.538074715,0.877543103,-1,-0.367095851
5c864c76de8ae1000103cecf,30,5,0,24,92%,59,3.043932913,0.151844297,0.956896552,1,-0.619231665
