"prolific_id","n_hit","n_fa","n_miss","n_cr","sum"
"5f881e431b4e41266d8644ac",81,33,7,56,177
"5f8ac6980f0186179abb28d2",35,34,55,56,180
"5f8c6949a2761c3c8755772d",53,40,36,47,176
"5f9197367349ae010649ca35",88,22,1,68,179
"5f9475af4edd0629e1899a4c",84,2,5,88,179
"5f9daa7e3ec0713096cd9d36",72,11,18,77,178
"5fa015644fae0a00088d140d",61,37,28,51,177
"5fa10518f4aa581930bb58f5",83,17,5,73,178
"5fa9bdfbfd78fa2157098e2a",60,11,29,75,175
"5faa8121f8f5533a5c7f7a20",47,5,42,85,179
"5fab015ae4b1e658a20e8ec7",60,46,25,35,166
"5fabf06f8ac4180b6b16790e",68,4,20,84,176
"5fac47187dfda11d948deef7",82,17,7,73,179
"5fad93a0fa839512df7d52ab",65,20,25,70,180
"5fae5291ec402509e2885604",70,28,20,62,180
"5fae878f3cee45000adff644",89,6,1,84,180
"5faecac5d0a22f0576837497",72,15,17,74,178
"5faefdc33a31c611e148ce22",87,7,3,82,179
"5fb141ba6677855a1ef1f7a5",84,4,6,86,180
"5fb1bfc23029716fc7f3e210",55,4,34,86,179
"5fb3d42dc5d76c000aedf11d",77,9,13,81,180
"5fb3d69e4e1324000ac27455",83,18,6,72,179
"5fb43d1ad84de30d1cf25a6d",70,5,20,82,177
"5fb4d2d39274e9120d74f666",74,10,16,80,180
"5fb4f7e9de93bd2f4d233647",20,7,69,82,178
"5fb6de74ff456813688f32fc",83,4,6,86,179
"5fb8f31f49adcb695b174c8e",82,12,8,78,180
"5fbc03c8475c2906fcbe467e",77,2,12,88,179
"5fbc41ea2e82120f440136d9",70,15,20,74,179
"5fbe8e205c74b301dd3c949c",61,14,29,76,180
"5fbed5c801246a0a6d4889fb",85,16,5,73,179
"5fbfb3099d4fac2f7134943b",56,23,27,62,168
"5fbfb35136e42030b11b1d3c",63,40,25,50,178
"5fc096b618627203bbbff03e",73,14,16,76,179
"5fc64277766e2802dd28785d",55,15,33,74,177
"5fcb5f768c4bb789f899288f",44,39,40,48,171
"5fd0bab64cd78b1749d4cef6",63,6,27,83,179
"5fd2416e5061f30735e202e9",81,8,8,82,179
"5fd394142d643f016601af39",66,38,13,42,159
"5fd8a13aaf5bd723a0e0e3fa",70,12,20,78,180
"5fd941e0e383411330a06e2c",81,4,8,85,178
"5fdb467f3de890644c47206c",58,24,30,66,178
"5fe075e18bcb1f9880880ce2",71,23,19,67,180
"5fe226313e41f75659e4029d",79,17,11,73,180
"5fe23b8f29598a58fee0b230",64,9,26,81,180
"5fe6e04126fd080522237bf7",80,11,10,79,180
"5fe75ddffef4d157617afc85",82,18,7,71,178
"5feb3fa8c2bdebbc5d1a0ebf",76,29,14,61,180
"5feb9db7238d4b7c80de5f7d",71,23,19,66,179
"5ff27e3fad6c6d2a2f9a6011",73,31,17,58,179
"5ff37e0050a71994a54be514",55,7,35,83,180
"5ff61abe2ac133164d8958d3",71,18,18,71,178
"5ff675405edf4321a7fe49f4",80,49,9,38,176
"60009bb72723c617a6f5bed5",79,12,10,78,179
"60056c12a83e503d9b56c5b5",64,10,25,80,179
"6007287ed787d81a04d1410c",82,8,7,81,178
"6008b7087367795557f236cd",66,0,23,90,179
"60103c590ae5c22f34993278",76,11,14,79,180
"60115ec690cb860008ee3f9b",73,15,17,74,179
"601426dd52fa5e3963a926c8",57,5,32,84,178
"60143c0f36253d3c41e397d8",67,5,20,85,177
"60145246eadebd19d5d544a3",46,58,41,32,177
"60168f07be88ba1010fc4b1e",78,59,11,31,179
"6017a0b4246e5141a8557ab2",70,19,20,71,180
"6017eee639ce08aa5861fd56",54,49,31,35,169
"60181267b7dae051afe72527",83,4,7,86,180
"60182e417ce9b30277139c72",63,6,26,82,177
"60185125a263080a4243e740",63,22,23,65,173
"60188bd6df239a1617cce54f",82,12,8,78,180
"60194185dc1e1f00083cb6c6",30,5,54,77,166
"60196162abe00c035d37b4b9",71,19,14,63,167
"6019870c02683a0b378648c6",53,52,36,36,177
"60199372bd48490e12a0d92e",89,16,1,74,180
"6019b5b180b3ce13ea04df11",75,16,14,74,179
"601ab327889d5f33db020f98",87,11,3,78,179
"601aef8553aa4340c3c1ee67",64,11,22,77,174
"601b1a200826f748fac5fe13",70,11,19,79,179
"601bcd1833bf995c29cdaabb",90,4,0,86,180
"601c12364879f66821bae819",69,11,21,79,180
"601eb56665282d352860e41b",39,44,38,33,154
"602132289ca8fa07b179a9c7",73,9,17,79,178
"60216d4e9acb1812b9b549df",77,5,12,85,179
"602171055d5b3313c3a39cf0",77,11,13,79,180
"60224092ed109a300239d920",66,13,24,77,180
"6023aef5c065f603b25cc126",55,49,34,41,179
"602537bf6292a7016a3b8ca0",46,2,25,60,133
"60253f70e3734903217abed1",65,8,24,82,179
"6027192deaecac157dfebd4a",52,53,37,37,179
"6027a9db556222222b5668e7",39,33,50,56,178
"6027b3759516735a4b497150",79,2,10,82,173
"602870c955736d1c913893c7",75,23,12,64,174
"60295da4f4090f3180785c4b",0,0,75,79,154
"602a79ad86b0770624288e16",84,9,6,81,180
"602a8a02aa844c09dcb58723",45,10,42,78,175
"602b2d3fb9bd922649dcb9c5",41,43,44,43,171
"602bfb0e85fd0040cd972c41",46,42,35,43,166
"602f33eb166df7c14953e825",72,45,18,45,180
"602fd3dfaece2bd458c1b7cf",58,20,3,39,120
"602fe20f2d682dd71673dc04",60,17,27,73,177
"6030fd3ba11bc8fb5a7e90c1",46,21,35,63,165
"60318ef24ad77a10fe4ee307",84,27,6,63,180
"60323cf610c7c1204961d857",66,2,11,68,147
"6032e55d6c0b933643a7a561",70,57,20,33,180
"6032ff11977e11381ff8603b",74,6,14,84,178
"6034c980ed0b01ce54264e32",74,6,13,79,172
"603541012bb2d79bcd0a7d25",73,13,16,77,179
"603596ef5c0c3206e41bfb4c",82,9,8,81,180
"6035aa763287825073426273",75,34,14,52,175
"603953e7302d0728f1519ad7",86,19,4,68,177
"603ac38e16b38973a326658c",74,34,16,56,180
"603af68f8d9a2b7881a2aebe",77,13,12,75,177
"603ca7828d9a2ba67a41342f",79,13,10,77,179
"603cb9eeb54e6ca8b5294c2e",77,37,11,50,175
"603d4fe6945077c526f54762",66,29,21,60,176
"6040093e0a7ed41aeb718833",61,7,29,83,180
"6040bea12c052c3106be9163",60,19,25,65,169
"6041daa3bf7f411e952f370c",24,0,52,70,146
"60455b5049cb5f6961abf663",76,4,14,85,179
"604642afab11690a6c1680c0",88,13,2,77,180
"604687e5b91a1b09dc720042",61,16,25,72,174
"604787f73109262a0e388a15",24,7,47,56,134
"6047b7e4e00094000b1c5f7a",57,19,32,70,178
"6047c18cb0f594062ac39158",71,38,18,52,179
"60487525ce38371d1b941362",74,17,5,57,153
"60488c60f2bca6bd9af97a66",67,5,21,85,178
"604b97cda0d3eedc0dee5245",64,50,20,34,168
"604d242c7c866fc358db7d48",70,8,12,71,161
"604dfdb4cbc22ea42280e20b",75,15,15,74,179
