"prolific_id","n_hit","n_fa","n_miss","n_cr","acc_407","sum"
"5f733f953409c7015fc43d26",18,4,12,26,"73%",60
"5f7345ef4b3fc3027203ecf1",22,5,7,24,"79%",58
"5f7627b46c029a08e8ca87a1",24,4,6,24,"83%",58
"5f7b2d43d76dea07bbf5b9bb",18,11,12,19,"62%",60
"5f7dd177bcf2a803e18fd2f0",22,12,8,18,"67%",60
"5f7f1e4acf7c770505c14357",24,2,6,28,"87%",60
"5f7f4a99ddc9cb0b87490fe9",28,8,2,22,"83%",60
"5f8370c6e0804f4fb492bcdc",26,6,4,24,"83%",60
"5f8472685956c40c720d0936",19,9,11,21,"67%",60
"5f848bc5c4a378107eedffca",16,16,11,9,"48%",52
"5f881e431b4e41266d8644ac",24,17,4,13,"64%",58
"5f8ac6980f0186179abb28d2",23,26,7,4,"45%",60
"5f8c6949a2761c3c8755772d",15,13,15,17,"53%",60
"5f9197367349ae010649ca35",28,7,1,23,"86%",59
"5f9475af4edd0629e1899a4c",26,1,4,29,"92%",60
"5f9daa7e3ec0713096cd9d36",20,4,10,25,"76%",59
"5fa015644fae0a00088d140d",20,17,9,13,"56%",59
"5fa10518f4aa581930bb58f5",26,3,4,27,"88%",60
"5fa9bdfbfd78fa2157098e2a",19,4,11,25,"75%",59
"5faa8121f8f5533a5c7f7a20",12,1,18,29,"68%",60
"5fab015ae4b1e658a20e8ec7",21,14,9,12,"59%",56
"5fabf06f8ac4180b6b16790e",17,2,12,26,"75%",57
"5fac47187dfda11d948deef7",25,6,4,24,"83%",59
"5fad93a0fa839512df7d52ab",19,8,11,22,"68%",60
"5fae5291ec402509e2885604",24,13,6,17,"68%",60
"5fae878f3cee45000adff644",29,4,1,26,"92%",60
"5faecac5d0a22f0576837497",22,5,8,25,"78%",60
"5faefdc33a31c611e148ce22",29,5,1,25,"90%",60
"5fb141ba6677855a1ef1f7a5",27,3,3,27,"90%",60
"5fb1bfc23029716fc7f3e210",13,2,17,28,"68%",60
"5fb3d42dc5d76c000aedf11d",24,4,6,26,"83%",60
"5fb3d69e4e1324000ac27455",27,7,3,23,"83%",60
"5fb43d1ad84de30d1cf25a6d",21,0,9,29,"85%",59
"5fb4d2d39274e9120d74f666",21,4,9,26,"78%",60
"5fb4f7e9de93bd2f4d233647",4,2,26,27,"53%",59
"5fb6de74ff456813688f32fc",26,2,4,28,"90%",60
"5fb8f31f49adcb695b174c8e",26,5,4,25,"85%",60
"5fbc03c8475c2906fcbe467e",23,0,6,30,"90%",59
"5fbc41ea2e82120f440136d9",20,8,10,22,"70%",60
"5fbe8e205c74b301dd3c949c",12,5,18,25,"62%",60
"5fbed5c801246a0a6d4889fb",28,7,2,23,"85%",60
"5fbfb3099d4fac2f7134943b",18,7,10,20,"69%",55
"5fbfb35136e42030b11b1d3c",19,12,10,18,"63%",59
"5fc096b618627203bbbff03e",23,4,6,26,"83%",59
"5fc64277766e2802dd28785d",14,5,16,25,"65%",60
"5fcb5f768c4bb789f899288f",15,11,11,18,"60%",55
"5fd0bab64cd78b1749d4cef6",16,2,14,28,"73%",60
"5fd2416e5061f30735e202e9",24,0,5,30,"92%",59
"5fd394142d643f016601af39",15,10,9,17,"63%",51
"5fd8a13aaf5bd723a0e0e3fa",21,6,9,24,"75%",60
"5fd941e0e383411330a06e2c",25,1,5,29,"90%",60
"5fdb467f3de890644c47206c",20,10,10,20,"67%",60
"5fe075e18bcb1f9880880ce2",23,11,7,19,"70%",60
"5fe226313e41f75659e4029d",25,8,5,22,"78%",60
"5fe23b8f29598a58fee0b230",16,5,14,25,"68%",60
"5fe6e04126fd080522237bf7",25,4,5,26,"85%",60
"5fe75ddffef4d157617afc85",25,8,4,22,"80%",59
"5feb3fa8c2bdebbc5d1a0ebf",24,9,6,21,"75%",60
"5feb9db7238d4b7c80de5f7d",21,8,9,21,"71%",59
"5ff27e3fad6c6d2a2f9a6011",21,9,9,21,"70%",60
"5ff37e0050a71994a54be514",15,2,15,28,"72%",60
"5ff61abe2ac133164d8958d3",22,5,8,25,"78%",60
"5ff675405edf4321a7fe49f4",25,19,4,10,"60%",58
"60009bb72723c617a6f5bed5",25,5,5,25,"83%",60
"60056c12a83e503d9b56c5b5",17,3,13,27,"73%",60
"6007287ed787d81a04d1410c",27,2,3,28,"92%",60
"6008b7087367795557f236cd",19,0,11,30,"82%",60
"60103c590ae5c22f34993278",21,3,9,27,"80%",60
"60115ec690cb860008ee3f9b",20,3,10,27,"78%",60
"601426dd52fa5e3963a926c8",14,4,16,26,"67%",60
"60143c0f36253d3c41e397d8",16,2,12,28,"76%",58
"60145246eadebd19d5d544a3",24,25,4,5,"50%",58
"60168f07be88ba1010fc4b1e",27,18,2,12,"66%",59
"6017a0b4246e5141a8557ab2",23,8,7,22,"75%",60
"6017eee639ce08aa5861fd56",15,19,13,7,"41%",54
"60181267b7dae051afe72527",26,2,4,28,"90%",60
"60182e417ce9b30277139c72",18,3,11,26,"76%",58
"60185125a263080a4243e740",16,7,14,22,"64%",59
"60188bd6df239a1617cce54f",25,7,5,23,"80%",60
"60194185dc1e1f00083cb6c6",8,0,22,25,"60%",55
"60196162abe00c035d37b4b9",23,7,5,21,"79%",56
"6019870c02683a0b378648c6",18,15,12,15,"55%",60
"60199372bd48490e12a0d92e",29,5,1,25,"90%",60
"6019b5b180b3ce13ea04df11",21,2,8,28,"83%",59
"601ab327889d5f33db020f98",28,2,2,28,"93%",60
"601aef8553aa4340c3c1ee67",17,5,11,25,"72%",58
"601b1a200826f748fac5fe13",16,4,14,26,"70%",60
"601bcd1833bf995c29cdaabb",30,2,0,28,"97%",60
"601c12364879f66821bae819",19,2,11,28,"78%",60
"601eb56665282d352860e41b",11,13,14,12,"46%",50
"602132289ca8fa07b179a9c7",22,4,8,26,"80%",60
"60216d4e9acb1812b9b549df",22,2,7,28,"85%",59
"602171055d5b3313c3a39cf0",21,4,9,26,"78%",60
"60224092ed109a300239d920",16,6,14,24,"67%",60
"6023aef5c065f603b25cc126",17,17,13,13,"50%",60
"602537bf6292a7016a3b8ca0",12,1,11,21,"73%",45
"60253f70e3734903217abed1",17,3,13,27,"73%",60
"6027192deaecac157dfebd4a",17,21,13,9,"43%",60
"6027a9db556222222b5668e7",15,13,15,16,"53%",59
"6027b3759516735a4b497150",21,1,8,27,"84%",57
"602870c955736d1c913893c7",24,6,6,24,"80%",60
"60295da4f4090f3180785c4b",0,0,25,26,"51%",51
"602a79ad86b0770624288e16",26,4,4,26,"87%",60
"602a8a02aa844c09dcb58723",11,6,18,23,"59%",58
"602b2d3fb9bd922649dcb9c5",16,15,13,13,"51%",57
"602bfb0e85fd0040cd972c41",19,14,8,16,"61%",57
"602f33eb166df7c14953e825",25,16,5,14,"65%",60
"602fd3dfaece2bd458c1b7cf",19,6,2,12,"79%",39
"602fe20f2d682dd71673dc04",18,9,11,21,"66%",59
"6030fd3ba11bc8fb5a7e90c1",7,8,17,20,"52%",52
"60318ef24ad77a10fe4ee307",27,9,3,21,"80%",60
"60323cf610c7c1204961d857",17,1,7,21,"83%",46
"6032e55d6c0b933643a7a561",22,19,8,11,"55%",60
"6032ff11977e11381ff8603b",22,3,7,27,"83%",59
"6034c980ed0b01ce54264e32",21,4,7,25,"81%",57
"603541012bb2d79bcd0a7d25",22,5,8,25,"78%",60
"603596ef5c0c3206e41bfb4c",26,2,4,28,"90%",60
"6035aa763287825073426273",20,13,10,15,"60%",58
"603953e7302d0728f1519ad7",29,7,1,22,"86%",59
"603ac38e16b38973a326658c",23,12,7,18,"68%",60
"603af68f8d9a2b7881a2aebe",20,8,10,21,"69%",59
"603ca7828d9a2ba67a41342f",25,5,5,25,"83%",60
"603cb9eeb54e6ca8b5294c2e",21,10,8,19,"69%",58
"603d4fe6945077c526f54762",19,9,11,21,"67%",60
"6040093e0a7ed41aeb718833",18,4,12,26,"73%",60
"6040bea12c052c3106be9163",16,4,12,24,"71%",56
"6041daa3bf7f411e952f370c",6,0,20,24,"60%",50
"60455b5049cb5f6961abf663",22,2,8,28,"83%",60
"604642afab11690a6c1680c0",29,6,1,24,"88%",60
"604687e5b91a1b09dc720042",17,7,12,23,"68%",59
"604787f73109262a0e388a15",6,0,18,21,"60%",45
"6047b7e4e00094000b1c5f7a",17,7,12,22,"67%",58
"6047c18cb0f594062ac39158",24,13,6,17,"68%",60
"60487525ce38371d1b941362",22,7,4,20,"79%",53
"60488c60f2bca6bd9af97a66",19,3,11,27,"77%",60
"604b97cda0d3eedc0dee5245",17,18,8,11,"52%",54
"604d242c7c866fc358db7d48",19,2,7,22,"82%",50
"604dfdb4cbc22ea42280e20b",24,3,6,26,"85%",59
